cnt,pos,speed,DTorque,STorque,Force,,,,
2133,11.9537,-0.0122,7,0,3,1.171875,36.71875,305,62
2134,11.9537,0,7,0,3,1.171875,36.328125,306,62
2135,11.9537,0.0061,7,0,3,1.171875,36.71875,307,62
2136,11.9537,0.003,7,0,3,1.171875,36.71875,308,62
2137,11.9537,-0.0091,7,0,3,1.171875,37.109375,309,62
2138,11.9537,0.003,7,0,3,1.171875,36.71875,310,63
2139,11.9537,0.0061,7,0,3,1.171875,36.71875,311,63
2140,11.9537,-0.0122,7,0,3,1.171875,37.109375,312,63
2141,11.9537,0.003,7,0,3,1.171875,37.109375,313,63
2142,11.9537,0,7,0,3,1.171875,37.5,314,63
2143,11.9537,-0.0061,7,0,3,1.171875,37.109375,315,64
2144,11.9537,0,7,0,3,1.171875,37.109375,316,64
2145,11.9537,0,7,0,3,1.171875,37.5,317,64
2146,11.9537,0.003,7,0,3,1.171875,37.5,318,64
2147,11.9537,-0.0061,7,0,3,1.171875,37.5,319,64
2148,11.9537,-0.003,7,0,3,1.171875,37.109375,320,65
2149,11.9537,0.003,7,0,3,1.171875,37.109375,321,65
2150,11.9537,-0.0061,7,0,3,1.171875,37.5,322,65
2151,11.9537,-0.0183,7,0,3,1.171875,37.5,323,65
2152,11.9537,-0.0091,7,0,3,1.171875,37.5,324,65
2153,11.9537,0.0061,7,0,3,1.171875,37.109375,325,66
2154,11.9537,0.003,7,0,3,1.171875,37.5,326,66
2155,11.9537,-0.0061,7,0,3,1.171875,37.5,327,66
2156,11.9537,-0.003,7,0,3,1.171875,37.5,328,66
2157,11.9538,0,7,0,3,1.171875,37.109375,329,66
2158,11.9538,0.0091,7,0,3,1.171875,37.5,330,67
2159,11.9537,0.003,7,0,3,1.171875,37.5,331,67
2160,11.9537,-0.0091,7,0,3,1.171875,37.5,332,67
2161,11.9538,0.0061,7,0,3,1.171875,36.71875,333,67
2162,11.9537,0.003,7,0,3,1.171875,37.109375,334,67
2163,11.9538,-0.003,7,0,3,1.171875,37.5,335,68
2164,11.9538,-0.0122,7,0,3,1.171875,37.5,336,68
2165,11.9538,-0.003,7,0,3,1.171875,37.5,337,68
2166,11.9538,0.0061,7,0,3,1.171875,37.109375,338,68
2167,11.9538,0.0122,7,0,3,1.171875,37.5,339,68
2168,11.9537,-0.0061,7,0,3,1.171875,37.890625,340,69
2169,11.9538,0,7,0,3,1.171875,37.5,341,69
2170,11.9538,0.0061,7,0,3,1.171875,37.890625,342,69
2171,11.9538,0,7,0,3,1.171875,37.5,343,69
2172,11.9538,-0.0091,7,0,3,1.171875,37.5,344,69
2173,11.9538,-0.003,7,0,3,1.171875,37.890625,345,70
2174,11.9538,0,7,0,3,1.171875,37.890625,346,70
2175,11.9538,-0.0061,7,0,3,1.171875,37.5,347,70
2176,11.9538,-0.003,7,0,3,1.171875,37.5,348,70
2177,11.9538,-0.003,7,0,3,1.171875,37.5,349,70
2178,11.9538,0.003,7,0,3,1.171875,37.5,350,71
2179,11.9538,0,7,0,3,1.171875,37.5,351,71
2180,11.9538,-0.003,7,0,3,1.171875,37.109375,352,71
2181,11.9538,-0.003,7,0,3,1.171875,37.109375,353,71
2182,11.9538,0.003,7,0,3,1.171875,37.5,354,71
2183,11.9538,-0.0061,6,0,2,0.78125,37.5,355,72
2184,11.9538,0,7,0,3,1.171875,37.5,356,72
2185,11.9538,0,7,0,3,1.171875,37.109375,357,72
2186,11.9538,0.003,7,0,3,1.171875,37.5,358,72
2187,11.9538,-0.0061,7,0,3,1.171875,37.109375,359,72
2188,11.9538,0.003,7,0,3,1.171875,37.5,360,73
2189,11.9538,0.003,6,0,2,0.78125,36.71875,361,73
2190,11.9538,-0.0122,6,0,2,0.78125,36.71875,362,73
2191,11.9538,-0.0061,7,0,3,1.171875,36.71875,363,73
2192,11.9538,-0.003,7,0,3,1.171875,36.71875,364,73
2193,11.9538,0.0061,7,0,3,1.171875,36.71875,365,74
2194,11.9538,-0.003,7,0,3,1.171875,37.109375,366,74
2195,11.9538,-0.0061,7,0,3,1.171875,36.71875,367,74
2196,11.9538,0.0061,7,0,3,1.171875,36.71875,368,74
2197,11.9538,0.003,6,0,2,0.78125,36.71875,369,74
2198,11.9538,0,6,0,2,0.78125,36.71875,370,75
2199,11.9538,-0.003,7,0,3,1.171875,36.71875,371,75
2200,11.9538,-0.0061,7,0,3,1.171875,36.71875,372,75
2201,11.9538,0,7,0,3,1.171875,36.71875,373,75
2202,11.9538,0,7,0,3,1.171875,36.71875,374,75
2203,11.9538,0.003,7,0,3,1.171875,36.71875,375,76
2204,11.9538,-0.0061,6,0,2,0.78125,36.71875,376,76
2205,11.9538,-0.0061,7,0,3,1.171875,36.71875,377,76
2206,11.9538,0.003,6,0,2,0.78125,36.71875,378,76
2207,11.9538,-0.003,6,0,2,0.78125,36.71875,379,76
2208,11.9538,-0.0061,7,0,3,1.171875,36.71875,380,77
2209,11.9538,0,6,0,2,0.78125,36.71875,381,77
2210,11.9538,0,6,0,2,0.78125,36.71875,382,77
2211,11.9538,-0.0061,6,0,2,0.78125,37.109375,383,77
2212,11.9539,-0.0061,6,0,2,0.78125,37.109375,384,77
2213,11.9539,0,7,0,3,1.171875,37.5,385,78
2214,11.9539,-0.003,6,0,2,0.78125,37.109375,386,78
2215,11.9539,0.003,6,0,2,0.78125,37.109375,387,78
2216,11.9539,0.003,7,0,3,1.171875,37.5,388,78
2217,11.9539,-0.0061,6,0,2,0.78125,37.5,389,78
2218,11.9539,-0.0183,7,0,3,1.171875,37.109375,390,79
2219,11.9539,0.003,7,0,3,1.171875,37.109375,391,79
