cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
346,106.126,-0,0,0,0,0,0,0,0,0,0,0
347,106.128,-0,0,0,-1,0,0,0,0,0,0,0
348,106.128,-0,0,0,-1,0,0,0,0,0,0,0
349,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
350,106.128,-0,0,0,0,0,0,0,0,0,0,0
351,106.126,-0,-2.1572,0,1,0,0,0,0,0,0,0
352,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
353,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
354,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
355,106.126,-0,0,0,-1,0,0,0,0,0,0,0
356,106.128,-0,0,0,2,0,0,0,0,0,0,0
357,106.126,-0,0,0,0,0,0,0,0,0,0,0
358,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
359,106.126,-0,0,0,0,0,0,0,0,0,0,0
360,106.128,-0,-2.1572,0,-1,0,0,0,0,0,0,0
361,106.128,-0,0,0,0,0,0,0,0,0,0,0
362,106.128,-0,0,0,-1,0,0,0,0,0,0,0
363,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
364,106.126,-0,0,0,-1,0,0,0,0,0,0,0
365,106.128,-0,0,0,0,0,0,0,0,0,0,0
366,106.13,-0,-4.3143,0,0,0,0,0,0,0,0,0
367,106.128,-0,0,0,0,0,0,0,0,0,0,0
368,106.128,-0,0,0,0,0,0,0,0,0,0,0
369,106.128,-0,0,0,0,0,0,0,0,0,0,0
370,106.126,-0,0,0,-1,0,0,0,0,0,0,0
371,106.126,-0,0,0,-1,0,0,0,0,0,0,0
372,106.128,-0,0,0,0,0,0,0,0,0,0,0
373,106.128,-0,0,0,0,0,0,0,0,0,0,0
374,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
375,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
376,106.128,-0,0,0,0,0,0,0,0,0,0,0
377,106.128,-0,0,0,-1,0,0,0,0,0,0,0
378,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
379,106.128,-0,0,0,-1,0,0,0,0,0,0,0
380,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
