cnt,pos,speed,DTorque,DAC,STorque
631,-245.001,0.0012,-7,0,0
632,-245.001,-0.0012,-7,0,0
633,-245.001,-0.0012,-7,0,0
634,-245.001,-0.0036,-7,0,0
635,-245.001,0,-7,0,0
636,-245.001,0.0048,-7,0,0
637,-245.001,0.006,-7,0,0
638,-245.001,0.0048,-7,0,0
639,-245.001,0.0095,-7,0,0
640,-245.001,0,-6,0,0
641,-245.001,0.0036,-7,0,0
642,-245,0.0083,-7,0,0
643,-245,0.0072,-7,0,0
644,-245,0.0024,-6,0,0
645,-245,0.0036,-7,0,0
646,-245,-0.0012,-7,0,0
647,-245,-0.0024,-7,0,0
648,-245,0,-6,0,0
649,-245,0.0024,-7,0,0
650,-245,0.0048,-7,0,0
651,-245,0,-7,0,0
652,-245,0,-6,0,0
653,-245,0.0036,-7,0,0
654,-245,0.0024,-7,0,0
655,-245,0.0012,-6,0,0
656,-245,0.0024,-6,0,0
657,-245,0,-7,0,0
658,-245,0.0012,-7,0,0
659,-245,-0.0024,-6,0,0
660,-245,0,-6,0,0
661,-245,0.0048,-6,0,0
662,-245,0.0024,-6,0,0
663,-245,0,-6,0,0
664,-245,-0.0036,-6,0,0
665,-245,0.0012,-6,0,0
666,-245,0.0036,-6,0,0
667,-245,0.0036,-6,0,0
668,-245,0.0048,-7,0,0
669,-245,0.0036,-6,0,0
670,-245,0.006,-6,0,0
671,-245,0.0048,-6,0,0
672,-245,0,-6,0,0
673,-245,-0.0036,-6,0,0
674,-245,-0.0024,-7,0,0
675,-245,-0.0036,-6,0,0
676,-245,0.0012,-6,0,0
677,-245,0.0024,-7,0,0
678,-245,0.0012,-6,0,0
679,-245,0.0012,-6,0,0
680,-245,0.0012,-6,0,0
681,-245,-0.0012,-6,0,0
682,-245,-0.0024,-6,0,0
683,-245,0.0024,-6,0,0
684,-245,0.0012,-6,0,0
685,-245,0.0036,-6,0,0
686,-245,0.0024,-6,0,0
687,-245,0.0048,-6,0,0
688,-245,0,-6,0,0
689,-245,-0.006,-6,0,0
690,-245,-0.0012,-6,0,0
691,-245,-0.0012,-6,0,0
692,-245,0.0048,-6,0,0
693,-245,0.0024,-6,0,0
694,-245,0.0012,-6,0,0
695,-245,-0.0012,-6,0,0
696,-245,0,-6,0,0
697,-245,0.0012,-6,0,0
698,-245,0.0036,-6,0,0
699,-245,0.0048,-6,0,0
700,-245,0.0012,-6,0,0
701,-245,0.0048,-6,0,0
702,-245,0.0036,-6,0,0
703,-245,-0.0024,-6,0,0
704,-245,-0.0012,-6,0,0
705,-245,0.0024,-6,0,0
706,-245,-0.0012,-6,0,0
707,-245,0,-6,0,0
708,-245,-0.0012,-6,0,0
709,-245,-0.0048,-6,0,0
710,-245,0.0024,-6,0,0
711,-245,0.0024,-6,0,0
712,-245,0,-6,0,0
713,-245,0.0024,-6,0,0
714,-245,0.0012,-6,0,0
715,-245,0.006,-6,0,0
716,-245,0,-6,0,0
717,-245,0.0048,-6,0,0
718,-245,0,-6,0,0
719,-245,0.0012,-6,0,0
