cnt,pos,speed,DTorque,Force,Dir
4209,49.27,-20.08,114.00,0,20.06,0
4210,49.29,-17.67,124.00,0,21.82,0
4211,49.30,-15.01,132.00,0,24.46,0
4212,49.32,-9.46,144.00,0,25.34,0
4213,49.33,-6.71,149.00,0,26.22,0
4214,49.33,-6.71,149.00,0,26.93,0
4215,49.33,-3.68,153.00,0,26.93,0
4216,49.33,-0.67,156.00,0,27.46,0
4217,49.33,2.27,158.00,0,27.81,0
4218,49.33,4.83,160.00,0,28.16,0
4219,49.32,7.09,162.00,0,28.51,0
4220,49.31,9.33,163.00,0,28.69,0
4221,49.30,11.61,165.00,0,29.04,0
4222,49.29,13.53,165.00,0,29.04,0
4223,49.27,15.80,166.00,0,29.39,0
4224,49.25,19.90,167.00,0,29.39,0
4225,49.23,19.90,168.00,0,29.57,0
4226,49.19,24.00,168.00,0,29.57,0
4227,49.16,26.05,168.00,0,29.57,0
4228,49.16,26.05,168.00,0,29.57,0
4229,49.10,30.05,169.00,0,29.74,0
4230,49.07,31.83,169.00,0,29.74,0
4231,49.04,33.78,170.00,0,29.92,0
4232,49.00,35.65,170.00,0,29.92,0
4233,48.96,37.08,170.00,0,29.92,0
4234,48.92,39.08,170.00,0,29.92,0
4235,48.88,40.57,170.00,0,22.88,0
4236,48.84,42.20,130.00,0,22.88,0
4237,48.80,43.53,43.00,0,7.57,0
4238,48.76,41.68,-3.00,0,-0.35,0
4239,48.72,39.27,-2.00,0,-0.35,0
4240,48.68,35.05,-1.00,0,-0.18,0
4241,48.61,32.75,-1.00,0,-0.18,0
4242,48.58,30.60,0.00,0,0.00,0
4243,48.55,28.51,1.00,0,0.18,0
4244,48.53,26.34,1.00,0,0.18,0
4245,48.50,24.25,2.00,0,0.35,0
4246,48.48,22.15,3.00,0,0.53,0
4247,48.46,20.12,3.00,0,0.53,0
4248,48.44,17.98,3.00,0,0.53,0
4249,48.43,16.13,2.00,0,0.35,0
4250,48.41,13.88,2.00,0,0.35,0
4251,48.40,9.70,2.00,0,0.35,0
4252,48.39,7.88,2.00,0,0.35,0
4253,48.38,7.88,2.00,0,0.35,0
4254,48.38,3.68,2.00,0,0.35,0
4255,48.37,1.80,3.00,0,0.53,0
4256,48.37,1.80,3.00,0,0.53,0
4257,48.37,-1.82,2.00,0,0.35,0
4258,48.38,-3.09,2.00,0,0.35,0
4259,48.38,-4.32,2.00,0,0.35,0
4260,48.39,-5.26,2.00,0,0.35,0
4261,48.39,-6.20,2.00,0,0.35,0
4262,48.40,-6.90,2.00,0,0.35,0
4263,48.40,-6.90,2.00,0,0.35,0
4264,48.41,-7.86,2.00,0,0.35,0
4265,48.42,-8.69,2.00,0,0.35,0
4266,48.42,-9.30,2.00,0,0.35,0
4267,48.45,-10.84,1.00,0,0.18,0
4268,48.46,-11.54,1.00,0,0.18,0
