cnt,pos,speed,DTorque,Force
4324,88.3844,-0.0036,41,18
4325,88.3844,-0.0012,41,18
4326,88.3844,0,41,18
4327,88.3844,-0.0012,41,18
4328,88.3844,0.0036,41,18
4329,88.3844,0.0036,41,18
4330,88.3844,0.0048,41,18
4331,88.3844,0.0036,41,18
4332,88.3844,0.0012,41,18
4333,88.3844,0.0024,41,18
4334,88.3844,0,41,18
4335,88.3844,-0.0012,41,18
4336,88.3844,-0.0036,41,18
4337,88.3844,0,41,18
4338,88.3844,0.0012,41,18
4339,88.3844,-0.0012,41,18
4340,88.3844,-0.0024,41,18
4341,88.3844,-0.0036,41,18
4342,88.3844,-0.0024,41,18
4343,88.3844,-0.0036,41,18
4344,88.3844,0,41,18
4345,88.3844,-0.0012,41,18
4346,88.3844,0.0012,41,18
4347,88.3844,-0.0012,41,18
4348,88.3844,0.0012,41,18
4349,88.3844,0.0012,41,18
4350,88.3844,0,41,18
4351,88.3844,-0.0012,41,18
4352,88.3844,0.0036,41,18
4353,88.3844,0.0048,41,18
4354,88.3844,0.0024,41,18
4355,88.3844,0.0012,41,18
4356,88.3844,-0.0012,41,18
4357,88.3844,-0.0024,41,18
4358,88.3844,-0.0012,41,18
4359,88.3844,-0.0012,41,18
4360,88.3844,-0.0036,41,18
4361,88.3844,-0.0012,41,18
4362,88.3844,0,41,18
4363,88.3844,0,41,18
4364,88.3844,0.0048,41,18
4365,88.3844,0.0024,41,18
4366,88.3844,0,41,18
4367,88.3844,0.0024,41,18
4368,88.3844,0.0024,41,18
4369,88.3844,-0.0012,41,18
4370,88.3844,-0.0012,41,18
4371,88.3844,-0.0012,41,18
4372,88.3844,0,41,18
4373,88.3844,0,41,18
4374,88.3844,0.0024,41,18
4375,88.3844,0.0012,41,18
4376,88.3844,0.0036,41,18
4377,88.3844,0.0048,41,18
4378,88.3844,0.0024,41,18
4379,88.3844,0.0024,41,18
4380,88.3844,-0.0024,41,18
4381,88.3844,0,41,18
4382,88.3844,0.0024,41,18
4383,88.3844,-0.0024,41,18
4384,88.3844,-0.0024,41,18
4385,88.3844,0.0012,41,18
4386,88.3844,-0.0024,41,18
4387,88.3844,0.0012,41,18
4388,88.3844,0,41,18
4389,88.3844,-0.0012,41,18
4390,88.3844,0.0048,41,18
4391,88.3844,0.0036,41,18
4392,88.3844,0.0024,41,18
4393,88.3843,0.006,41,18
4394,88.3843,0.0012,41,18
4395,88.3843,0.0048,41,18
4396,88.3843,-0.0012,41,18
4397,88.3843,-0.0024,41,18
4398,88.3843,-0.0024,41,18
4399,88.3843,-0.0012,41,18
4400,88.3843,-0.0048,41,18
4401,88.3844,-0.0024,41,18
4402,88.3844,0.0012,41,18
4403,88.3844,0.0012,41,18
4404,88.3843,0.0012,41,18
4405,88.3843,0.0024,41,18
4406,88.3843,0.006,41,18
4407,88.3843,0.0048,41,18
4408,88.3843,0,41,18
4409,88.3843,0,41,18
4410,88.3843,0,41,18
4411,88.3843,0.0012,41,18
4412,88.3843,0.0024,41,18
4413,88.3843,0.0024,41,18
4414,88.3843,0.0024,41,18
4415,88.3843,-0.0012,41,18
4416,88.3843,-0.0036,41,18
4417,88.3843,-0.0024,41,18
4418,88.3843,0.0036,41,18
4419,88.3843,0.0036,41,18
4420,88.3843,-0.0024,41,18
4421,88.3843,0.0024,41,18
4422,88.3843,0,41,18
4423,88.3843,0.0024,41,18
4424,88.3843,0.0024,41,18
4425,88.3843,0,41,18
4426,88.3843,0.0012,41,18
4427,88.3843,0.0012,41,18
4428,88.3843,0.0024,41,18
4429,88.3843,0.0012,41,18
4430,88.3843,0.0012,41,18
4431,88.3843,0.0036,41,18
4432,88.3843,0.0024,41,18
4433,88.3843,-0.0024,41,18
4434,88.3843,-0.0024,41,18
4435,88.3843,-0.0024,41,18
4436,88.3843,0,41,18
4437,88.3843,0.0012,41,18
4438,88.3843,0.0048,41,18
4439,88.3843,0.0024,41,18
4440,88.3843,0.0036,41,18
4441,88.3843,-0.0012,41,18
4442,88.3843,-0.0024,41,18
4443,88.3843,-0.0024,41,18
4444,88.3843,-0.0024,41,18
4445,88.3843,-0.0024,41,18
4446,88.3843,0.0036,41,18
4447,88.3843,-0.0024,41,18
4448,88.3843,-0.0012,41,18
4449,88.3843,0.0012,41,18
4450,88.3843,0.0024,41,18
4451,88.3843,0.0048,41,18
4452,88.3843,0.0024,41,18
4453,88.3843,0.0024,41,18
4454,88.3843,-0.0012,41,18
4455,88.3843,-0.0024,41,18
4456,88.3843,-0.0024,41,18
4457,88.3843,-0.0024,41,18
4458,88.3843,-0.0012,41,18
4459,88.3843,-0.0036,41,18
4460,88.3843,0.0012,41,18
4461,88.3843,0,41,18
4462,88.3843,-0.0024,41,18
4463,88.3843,0.0012,41,18
4464,88.3843,0.0012,41,18
4465,88.3843,0,41,18
4466,88.3843,0.0024,41,18
4467,88.3843,0,41,18
4468,88.3843,0.0012,41,18
4469,88.3843,0,41,18
4470,88.3843,-0.0012,41,18
4471,88.3843,-0.0024,41,18
4472,88.3843,-0.0024,41,18
4473,88.3843,-0.006,41,18
4474,88.3843,-0.0012,41,18
4475,88.3843,0.0012,41,18
4476,88.3843,0.0036,41,18
4477,88.3843,0.0036,41,18
4478,88.3843,0.0024,41,18
4479,88.3843,0.0036,41,18
4480,88.3843,0.0036,41,18
4481,88.3843,0.0024,41,18
4482,88.3843,-0.0024,41,18
4483,88.3843,-0.0048,41,18
4484,88.3843,-0.0048,41,18
4485,88.3843,-0.0095,41,18
4486,88.3843,-0.0048,41,18
4487,88.3843,-0.0036,41,18
4488,88.3843,-0.0048,41,18
4489,88.3843,-0.0024,41,18
4490,88.3843,0.0012,41,18
4491,88.3843,0.006,41,18
4492,88.3843,0.0024,41,18
4493,88.3843,0.0024,41,18
4494,88.3843,0.0036,41,18
4495,88.3843,-0.0024,41,18
4496,88.3843,-0.0036,41,18
4497,88.3843,-0.0024,41,18
4498,88.3843,0,41,18
4499,88.3843,-0.0012,41,18
4500,88.3843,-0.0012,41,18
4501,88.3843,-0.0048,41,18
4502,88.3843,-0.0012,41,18
4503,88.3843,-0.0036,41,18
4504,88.3843,0.0024,41,18
4505,88.3843,0.0024,41,18
4506,88.3843,0.0012,41,18
4507,88.3843,0.0024,41,18
4508,88.3843,0.0012,41,18
4509,88.3843,0,41,18
4510,88.3843,0,41,18
4511,88.3843,-0.0012,41,18
4512,88.3843,0,41,18
4513,88.3843,-0.0048,41,18
4514,88.3844,-0.0083,41,18
4515,88.3844,-0.0072,41,18
4516,88.3844,-0.006,41,18
4517,88.3844,-0.0072,41,18
4518,88.3844,-0.0036,41,18
4519,88.3844,0,41,18
4520,88.3844,0.0036,41,18
4521,88.3844,0.0012,41,18
4522,88.3844,0.0024,41,18
4523,88.3844,0.0036,41,18
4524,88.3844,0.0024,41,18
4525,88.3844,0.0036,41,18
4526,88.3844,0,41,18
4527,88.3844,-0.0036,41,18
4528,88.3844,-0.0048,41,18
4529,88.3844,-0.0024,41,18
4530,88.3844,-0.0024,41,18
4531,88.3844,-0.0048,41,18
4532,88.3844,-0.006,41,18
4533,88.3844,-0.0024,41,18
4534,88.3844,-0.0036,41,18
4535,88.3844,-0.0012,41,18
4536,88.3844,0.0012,41,18
4537,88.3844,0.0048,41,18
4538,88.3844,0.0048,41,18
4539,88.3844,0,41,18
4540,88.3844,0.0012,41,18
4541,88.3844,-0.0012,41,18
4542,88.3844,-0.0012,41,18
4543,88.3844,-0.0024,41,18
4544,88.3844,-0.0024,41,18
4545,88.3844,-0.0048,41,18
4546,88.3844,-0.0072,41,18
4547,88.3844,-0.0072,41,18
4548,88.3844,-0.0048,41,18
4549,88.3844,-0.0072,41,18
4550,88.3844,-0.0048,41,18
4551,88.3844,-0.0036,41,18
4552,88.3844,-0.0048,41,18
4553,88.3844,-0.0048,41,18
4554,88.3844,-0.006,41,18
4555,88.3844,-0.0036,41,18
4556,88.3844,-0.006,41,18
4557,88.3845,-0.0072,41,18
4558,88.3845,-0.0083,41,18
4559,88.3845,-0.0107,41,18
4560,88.3845,-0.0107,41,18
4561,88.3845,-0.0131,41,18
4562,88.3845,-0.0143,41,18
4563,88.3845,-0.0107,41,18
4564,88.3845,-0.0143,41,18
4565,88.3846,-0.0143,41,18
4566,88.3846,-0.0095,41,18
4567,88.3846,-0.0095,41,18
4568,88.3846,-0.0107,41,18
4569,88.3846,-0.0119,41,18
4570,88.3846,-0.0143,41,18
4571,88.3846,-0.0107,41,18
4572,88.3846,-0.0107,41,18
4573,88.3846,-0.0131,41,18
4574,88.3847,-0.0143,41,18
4575,88.3847,-0.0143,41,18
4576,88.3847,-0.0191,41,18
4577,88.3847,-0.0226,41,18
4578,88.3847,-0.0286,41,18
4579,88.3848,-0.0286,41,18
4580,88.3848,-0.0286,41,18
4581,88.3848,-0.0322,41,18
4582,88.3849,-0.0322,41,18
4583,88.3849,-0.0346,41,18
4584,88.385,-0.0358,41,18
4585,88.3851,-0.0346,41,18
4586,88.3851,-0.0322,41,18
4587,88.3851,-0.031,41,18
4588,88.3852,-0.0322,41,18
4589,88.3852,-0.0346,41,18
4590,88.3852,-0.0381,41,18
4591,88.3853,-0.0393,41,18
4592,88.3853,-0.0477,41,18
4593,88.3853,-0.0453,41,18
4594,88.3854,-0.0489,41,18
4595,88.3855,-0.0525,41,18
4596,88.3855,-0.0501,41,18
